,title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
531,4bdrm Block of Flats in Ibadan for sale,"Oyo State, Ibadan",Ibadan,Oyo State,80000000.0,diamond,600.0,4.0,5.0,Unfurnished
532,5bdrm Duplex in Bodija for sale,"Ibadan, Bodija",Bodija,Ibadan,198000000.0,enterprise,300.0,5.0,6.0,Semi-Furnished
533,"4bdrm Duplex in Sangotedo, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,200000000.0,enterprise,250.0,4.0,5.0,Semi-Furnished
534,"5bdrm Duplex in Ikota, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,420000000.0,enterprise,350.0,5.0,6.0,Semi-Furnished
535,4bdrm Block of Flats in Ibadan for sale,"Oyo State, Ibadan",Ibadan,Oyo State,20000000.0,diamond,700.0,4.0,6.0,Unfurnished
536,"4bdrm Bungalow in Trademore Estate, Lugbe District for sale","Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),70000000.0,diamond,600.0,4.0,4.0,Unfurnished
537,"4bdrm Duplex in Nureni Yusuf Estate, Abule Egba for sale","Lagos State, Abule Egba",Abule Egba,Lagos State,165000000.0,diamond,300.0,4.0,4.0,Semi-Furnished
538,"Furnished 4bdrm Bungalow in Mayfair Gardens, Awoyaya for sale","Ibeju, Awoyaya",Awoyaya,Ibeju,130000000.0,enterprise,300.0,4.0,4.0,Furnished
539,"4bdrm Duplex in Ajah, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,145000000.0,enterprise,150.0,4.0,5.0,Semi-Furnished
540,2bdrm Duplex in Kubwa for sale,"Abuja (Fct), Kubwa",Kubwa,Abuja (Fct),110000000.0,diamond,600.0,2.0,2.0,Semi-Furnished
541,3bdrm Block of Flats in Katampe (Main) for sale,"Katampe, Katampe (Main)",Katampe (Main),Katampe,130000000.0,diamond,500.0,3.0,3.0,Semi-Furnished
542,2bdrm Apartment in Ajah for sale,"Lagos State, Ajah",Ajah,Lagos State,80000000.0,enterprise,200.0,2.0,3.0,Unfurnished
543,"4bdrm Duplex in Salley, Lugbe District for sale","Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),255000000.0,diamond,600.0,4.0,5.0,Unfurnished
544,4bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,200000000.0,enterprise,250.0,4.0,4.0,Semi-Furnished
545,"4bdrm Duplex in Mshel, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lugbe District,155000000.0,diamond,500.0,4.0,4.0,Unfurnished
546,"5bdrm Duplex in Rock, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lugbe District,190000000.0,diamond,500.0,5.0,7.0,Unfurnished
547,"Furnished 3bdrm Bungalow in Adron City Park And, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,99750000.0,enterprise,540.0,3.0,4.0,Furnished
548,3bdrm Apartment in Ikate Lekki for sale,"Lekki, Ikate",Ikate,Lekki,220000000.0,enterprise,400.0,3.0,3.0,Unfurnished
549,Furnished 4bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lekki,350000000.0,enterprise,400.0,4.0,4.0,Furnished
550,"5bdrm Duplex in Peace Garden Estate, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,Ajah,250000000.0,enterprise,450.0,5.0,5.0,Unfurnished
551,4bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,260000000.0,enterprise,200.0,4.0,5.0,Semi-Furnished
552,"5bdrm Duplex in Amazing Grace Estate, Baruwa for sale","Ipaja, Baruwa",Baruwa,Ipaja,150000000.0,diamond,406.0,5.0,5.0,Semi-Furnished
553,3bdrm Bungalow in Ado Ekiti for sale,"Ekiti State, Ado Ekiti",Ado Ekiti,Ekiti State,37000000.0,False,700.0,3.0,4.0,Semi-Furnished
554,"4bdrm Duplex in Vine, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lugbe District,138000000.0,diamond,500.0,4.0,4.0,Unfurnished
555,Furnished 2bdrm Apartment in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,150000000.0,enterprise,250.0,2.0,2.0,Furnished
557,"4bdrm Duplex in Victoria Gardan City, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,450000000.0,enterprise,500.0,4.0,5.0,Semi-Furnished
558,"4bdrm Duplex in Atlantic Layout, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,130000000.0,enterprise,300.0,4.0,4.0,Semi-Furnished
559,"5bdrm Duplex in Ochacho Real Homes, Idu for sale","Jiwa, Idu",Idu,Jiwa,255000000.0,diamond,500.0,5.0,6.0,Unfurnished
560,"4bdrm Duplex in 4Tree4, Lugbe District for sale","Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),175000000.0,diamond,450.0,4.0,5.0,Unfurnished
561,"4bdrm Duplex in Beachwood Estate, Bogije for sale","Ibeju, Bogije",Bogije,Ibeju,150000000.0,enterprise,300.0,4.0,4.0,Semi-Furnished
562,"4bdrm Duplex in Ajah, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,160000000.0,enterprise,215.0,4.0,4.0,Semi-Furnished
565,"4bdrm Duplex in Ikota Gra Extension, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,140000000.0,enterprise,200.0,4.0,4.0,Semi-Furnished
566,2bdrm Apartment in Abijo for sale,"Ibeju, Abijo",Abijo,Ibeju,45000000.0,enterprise,1000.0,2.0,2.0,Unfurnished
568,2bdrm Apartment in Lekki Scheme2 for sale,"Lagos State, Ajah",Ajah,Lagos State,85000000.0,enterprise,150.0,2.0,2.0,Semi-Furnished
569,"2bdrm Bungalow in Alone A Compound, Dawaki for sale","Gwarinpa, Dawaki",Dawaki,Gwarinpa,120000000.0,diamond,1120.0,2.0,2.0,Semi-Furnished
570,"4bdrm Bungalow in Not Estate, Igando / Ikotun/Igando for sale","Ikotun/Igando, Igando / Ikotun/Igando",Igando / Ikotun/Igando,Ikotun/Igando,25000000.0,diamond,300.0,4.0,4.0,Semi-Furnished
